TreeID,Species,Plot,prev_dbh,next_dbh_pred,delta_pred,next_dbh_final,year_step
487,black birch,Lower,4.826,3.3393195340127497,-1.48668046598725,4.826,1
489,black birch,Lower,14.223999999999998,10.94437183354586,-3.2796281664541382,14.223999999999998,1
49,sugar maple,Upper,62.484,57.43433094765602,-5.04966905234398,62.484,1
490,black birch,Lower,6.604,4.710592777014984,-1.893407222985016,6.604,1
491,black birch,Lower,3.7084,2.482142870769167,-1.226257129230833,3.7084,1
492,black birch,Lower,4.318,2.949693777992936,-1.3683062220070634,4.318,1
493,black birch,Lower,6.604,4.710592777014984,-1.893407222985016,6.604,1
495,black birch,Lower,10.541,7.825682632584607,-2.715317367415393,10.541,1
496,black birch,Lower,11.43,8.534633279354896,-2.8953667206451037,11.43,1
498,black birch,Lower,3.9624,2.67695574877907,-1.2854442512209303,3.9624,1
499,black birch,Lower,4.318,2.949693777992936,-1.3683062220070634,4.318,1
5,sugar maple,Upper,37.592000000000006,35.712870397486526,-1.8791296025134798,37.592000000000006,1
50,sugar maple,Upper,29.718,28.841813855739144,-0.8761861442608563,29.718,1
501,sugar maple,Upper,28.447999999999997,27.73642409476664,-0.7115759052333566,28.447999999999997,1
502,sugar maple,Upper,22.86,22.535650356591187,-0.3243496434088122,22.86,1
505,mockernut hickory,Lower,2.7940000000000005,1.1358769151815218,-1.6581230848184787,2.7940000000000005,1
506,musclewood,Lower,4.318,0.3399892938978656,-3.978010706102134,4.318,1
507,musclewood,Lower,3.1242,0.0,-3.1242,3.1242,1
508,musclewood,Lower,3.9878,0.1350930069073203,-3.8527069930926796,3.9878,1
52,sugar maple,Upper,45.72,43.19217062587481,-2.52782937412519,45.72,1
53,sugar maple,Upper,30.734,29.725912771842708,-1.0080872281572937,30.734,1
54,sugar maple,Upper,29.21,28.399764397687363,-0.8102356023126376,29.21,1
55,sugar maple,Upper,54.355999999999995,50.584673249007636,-3.7713267509923583,54.355999999999995,1
56,norway maple,Upper,7.62,6.46536876362953,-1.15463123637047,7.62,1
57,sugar maple,Upper,7.62,7.081909949632169,-0.5380900503678312,7.62,1
58,sugar maple,Upper,46.228,43.63999004945114,-2.5880099505488587,46.228,1
605,red oak,Middle,127.762,122.67564807868837,-5.086351921311632,127.762,1
613,mockernut hickory,Middle,25.4,24.297045113389753,-1.1029548866102452,25.4,1
615,mockernut hickory,Middle,45.085,43.08498294336477,-2.0000170566352296,45.085,1
62,sugar maple,Upper,13.97,13.116548496755183,-0.853451503244818,13.97,1
621,mockernut hickory,Middle,16.51,15.913259107871859,-0.5967408921281425,16.51,1
624,red oak,Middle,130.556,125.16397507837853,-5.392024921621484,130.556,1
63,sugar maple,Upper,38.1,36.16215174775796,-1.9378482522420413,38.1,1
639,red oak,Middle,132.08,126.5212443509368,-5.558755649063215,132.08,1
643,sugar maple,Middle,76.2,68.78775466123146,-7.4122453387685425,76.2,1
65,sugar maple,Upper,11.43,10.628801476580765,-0.8011985234192345,11.43,1
657,mockernut hickory,Middle,54.61,52.79883595299335,-1.811164047006649,54.61,1
659,mockernut hickory,Middle,41.91,39.84830519043416,-2.061694809565836,41.91,1
66,sugar maple,Upper,7.62,7.081909949632169,-0.5380900503678312,7.62,1
667,pignut hickory,Middle,19.05,14.983676001264133,-4.066323998735868,19.05,1
668,hophornbeam,Middle,9.906,9.545067879568315,-0.360932120431686,9.906,1
67,norway maple,Upper,5.9944,4.961830205675637,-1.0325697943243624,5.9944,1
677,black birch,Middle,42.8244,36.03848120962769,-6.785918790372307,42.8244,1
68,norway maple,Upper,12.7,11.229611120880799,-1.4703888791192004,12.7,1
680,mockernut,Middle,27.177999999999997,23.840752102105697,-3.3372478978943008,27.177999999999997,1
681,pignut hickory,Middle,18.669,14.744992589193771,-3.9240074108062295,18.669,1
682,pignut hickory,Middle,24.003,18.239564349776295,-5.763435650223705,24.003,1
685,black oak,Middle,55.118,50.737015760834865,-4.380984239165137,55.118,1
69,sugar maple,Upper,8.89,8.264338782018422,-0.6256612179815786,8.89,1
692,sugar maple,Middle,41.402,39.83918294839715,-1.562817051602849,41.402,1
699,basswood,Middle,44.196,42.30597537419116,-1.8900246258088345,44.196,1
7,sugar maple,Upper,18.796000000000003,18.1630585535693,-0.6329414464307028,18.796000000000003,1
704,mockernut hickory,Middle,48.26,46.322933946574295,-1.9370660534257027,48.26,1
705,mockernut hickory,Middle,33.528,31.753943112564535,-1.7740568874354636,33.528,1
708,sassafras,Middle,43.434000000000005,43.05532949449507,-0.3786705055049353,43.434000000000005,1
71,sugar maple,Upper,9.906,9.210281847927423,-0.6957181520725779,9.906,1
711,sugar maple,Middle,40.386,38.9811707763635,-1.4048292236365043,40.386,1
714,mockernut hickory,Middle,40.64,38.60208850910826,-2.0379114908917373,40.64,1
72,sugar maple,Upper,22.098,21.76894709756599,-0.3290529024340074,22.098,1
722,sugar maple,Middle,43.942,41.984213378481314,-1.9577866215186859,43.942,1
725,sugar maple,Middle,35.56,34.991029243168796,-0.5689707568312059,35.56,1
727,sugar maple,Middle,47.24400000000001,44.69247242554421,-2.551527574455797,47.24400000000001,1
728,sugar maple,Middle,36.83,35.991693845317485,-0.8383061546825132,36.83,1
73,sugar maple,Upper,57.277,52.970653791164814,-4.306346208835187,57.277,1
74,sugar maple,Upper,58.928,54.32909279929042,-4.598907200709576,58.928,1
75,sugar maple,Upper,60.706,55.88144246846033,-4.824557531539675,60.706,1
76,norway maple,Upper,5.3340000000000005,4.3510176665068725,-0.982982333493128,5.3340000000000005,1
77,norway maple,Upper,7.874,6.700296663309821,-1.1737033366901786,7.874,1
78,norway maple,Upper,7.874,6.700296663309821,-1.1737033366901786,7.874,1
79,norway maple,Upper,8.509,7.287616412510563,-1.221383587489437,8.509,1
8,sugar maple,Upper,27.686,27.02294001070959,-0.6630599892904101,27.686,1
80,sugar maple,Upper,45.72,43.19217062587481,-2.52782937412519,45.72,1
