fold,r2_score,mse,rmse
1,0.9091745640260386,38.4551773072868,6.201223855601957
2,0.8965778559509339,42.43919505945235,6.514537209921542
3,0.9539493897743057,18.13565633838601,4.25859793105501
4,0.9570571426518178,16.47012493614136,4.058340170086948
5,0.9427087940861351,22.275335969074312,4.719675409291863
